paragraph_ID	sentence_ID	token_ID_within_sentence	token_ID_within_document	word	lemma	byte_onset	byte_offset	POS_tag	fine_POS_tag	dependency_relation	syntactic_head_ID
0	0	0	0	#	#	0	1	NOUN	NN	compound	1
0	0	1	1	Chapter	chapter	2	9	NOUN	NN	ROOT	1
0	0	2	2	1	1	10	11	NUM	CD	nummod	1
1	1	0	3	In	in	13	15	ADP	IN	prep	17
1	1	1	4	the	the	16	19	DET	DT	det	5
1	1	2	5	corner	corner	20	26	NOUN	NN	pobj	3
1	1	3	6	of	of	27	29	ADP	IN	prep	5
1	1	4	7	a	a	30	31	DET	DT	det	10
1	1	5	8	firstclass	firstclass	32	42	NOUN	NN	compound	10
1	1	6	9	smoking	smoking	43	50	NOUN	NN	compound	10
1	1	7	10	carriage	carriage	51	59	NOUN	NN	pobj	6
1	1	8	11	,	,	59	60	PUNCT	,	punct	17
1	1	9	12	Mr.	Mr.	61	64	PROPN	NNP	compound	14
1	1	10	13	Justice	Justice	65	72	PROPN	NNP	compound	14
1	1	11	14	Wargrave	Wargrave	73	81	PROPN	NNP	nsubj	17
1	1	12	15	,	,	81	82	PUNCT	,	punct	14
1	1	13	16	lately	lately	83	89	ADV	RB	advmod	17
1	1	14	17	retired	retire	90	97	VERB	VBN	ROOT	17
1	1	15	18	from	from	98	102	ADP	IN	prep	17
1	1	16	19	the	the	103	106	DET	DT	det	20
1	1	17	20	bench	bench	107	112	NOUN	NN	pobj	18
1	1	18	21	,	,	112	113	PUNCT	,	punct	17
1	1	19	22	puffed	puff	114	120	VERB	VBN	advcl	17
1	1	20	23	at	at	121	123	ADP	IN	prep	22
1	1	21	24	a	a	124	125	DET	DT	det	25
1	1	22	25	cigar	cigar	126	131	NOUN	NN	pobj	23
1	1	23	26	and	and	132	135	CCONJ	CC	cc	22
1	1	24	27	ran	run	136	139	VERB	VBD	conj	22
1	1	25	28	an	an	140	142	DET	DT	det	30
1	1	26	29	interested	interested	143	153	ADJ	JJ	amod	30
1	1	27	30	eye	eye	154	157	NOUN	NN	dobj	27
1	1	28	31	through	through	158	165	ADP	IN	prep	27
1	1	29	32	the	the	166	169	DET	DT	det	34
1	1	30	33	political	political	170	179	ADJ	JJ	amod	34
1	1	31	34	news	news	180	184	NOUN	NN	pobj	31
1	1	32	35	in	in	185	187	ADP	IN	prep	27
1	1	33	36	the	the	188	191	DET	DT	det	37
1	1	34	37	Times	Times	192	197	PROPN	NNP	pobj	35
1	1	35	38	.	.	197	198	PUNCT	.	punct	17
2	2	0	39	He	he	200	202	PRON	PRP	nsubj	40
2	2	1	40	laid	lay	203	207	VERB	VBD	ROOT	40
2	2	2	41	the	the	208	211	DET	DT	det	42
2	2	3	42	paper	paper	212	217	NOUN	NN	dobj	40
2	2	4	43	down	down	218	222	ADP	RP	prt	40
2	2	5	44	and	and	223	226	CCONJ	CC	cc	40
2	2	6	45	glanced	glance	227	234	VERB	VBN	conj	40
2	2	7	46	out	out	235	238	ADP	IN	prep	45
2	2	8	47	of	of	239	241	ADP	IN	prep	46
2	2	9	48	the	the	242	245	DET	DT	det	49
2	2	10	49	window	window	246	252	NOUN	NN	pobj	47
2	2	11	50	.	.	252	253	PUNCT	.	punct	40
2	3	0	51	They	they	254	258	PRON	PRP	nsubj	53
2	3	1	52	were	be	259	263	AUX	VBD	aux	53
2	3	2	53	running	run	264	271	VERB	VBG	ROOT	53
2	3	3	54	now	now	272	275	ADV	RB	advmod	53
2	3	4	55	through	through	276	283	ADP	IN	prep	53
2	3	5	56	Somerset	Somerset	284	292	PROPN	NNP	pobj	55
2	3	6	57	.	.	292	293	PUNCT	.	punct	53
2	4	0	58	He	he	294	296	PRON	PRP	nsubj	59
2	4	1	59	glanced	glance	297	304	VERB	VBD	ROOT	59
2	4	2	60	at	at	305	307	ADP	IN	prep	59
2	4	3	61	his	his	308	311	PRON	PRP$	poss	62
2	4	4	62	watch	watch	312	317	NOUN	NN	pobj	60
2	4	5	63	——	——	317	319	PUNCT	:	punct	62
2	4	6	64	another	another	319	326	DET	DT	det	66
2	4	7	65	two	two	327	330	NUM	CD	nummod	66
2	4	8	66	hours	hour	331	336	NOUN	NNS	dobj	59
2	4	9	67	to	to	337	339	PART	TO	aux	68
2	4	10	68	go	go	340	342	VERB	VB	relcl	66
2	4	11	69	.	.	342	343	PUNCT	.	punct	59
3	5	0	70	He	he	345	347	PRON	PRP	nsubj	71
3	5	1	71	went	go	348	352	VERB	VBD	ROOT	71
3	5	2	72	over	over	353	357	ADP	RP	prt	71
3	5	3	73	in	in	358	360	ADP	IN	prep	71
3	5	4	74	his	his	361	364	PRON	PRP$	poss	75
3	5	5	75	mind	mind	365	369	NOUN	NN	pobj	73
3	5	6	76	all	all	370	373	PRON	DT	npadvmod	71
3	5	7	77	that	that	374	378	PRON	WDT	nsubj	79
3	5	8	78	had	have	379	382	AUX	VBD	aux	79
3	5	9	79	appeared	appear	383	391	VERB	VBN	relcl	76
3	5	10	80	in	in	392	394	ADP	IN	prep	79
3	5	11	81	the	the	395	398	DET	DT	det	82
3	5	12	82	papers	paper	399	405	NOUN	NNS	pobj	80
3	5	13	83	about	about	406	411	ADP	IN	prep	82
3	5	14	84	Indian	Indian	412	418	PROPN	NNP	compound	85
3	5	15	85	Island	Island	419	425	PROPN	NNP	pobj	83
3	5	16	86	.	.	425	426	PUNCT	.	punct	71
3	6	0	87	There	there	427	432	PRON	EX	expl	89
3	6	1	88	had	have	433	436	AUX	VBD	aux	89
3	6	2	89	been	be	437	441	AUX	VBN	ROOT	89
3	6	3	90	its	its	442	445	PRON	PRP$	poss	92
3	6	4	91	original	original	446	454	ADJ	JJ	amod	92
3	6	5	92	purchase	purchase	455	463	NOUN	NN	attr	89
3	6	6	93	by	by	464	466	ADP	IN	prep	92
3	6	7	94	an	an	467	469	DET	DT	det	96
3	6	8	95	American	american	470	478	ADJ	JJ	amod	96
