source_id,target_id,source_name,target_name,weight,sentence_ids
71,125,Philip Lombard,Vera Elizabeth Claythorne,96,"[60, 221, 286, 287, 307, 312, 316, 338, 342, 783, 1111, 1112, 1611, 2549, 2646, 2665, 2760, 2774, 2775, 2778, 2779, 2791, 2794, 2795, 2797, 2798, 2799, 2800, 2801, 2813, 2816, 2821, 2830, 2834, 2835, 3028, 3103, 3263, 3320, 3359, 3665, 3666, 3682, 3683, 3689, 3694, 3734, 3744, 3777, 3805, 4009, 4074, 4080, 4095, 4115, 4156, 4168, 4169, 4170, 4216, 4230, 4236, 4244, 4245, 4253, 4271, 4272, 4287, 4288, 4297, 4316, 4319, 4323, 4345, 4354, 4355, 4364, 4372, 4389, 4399, 4401, 4417, 4418, 4425, 4428, 4431, 4432, 4435, 4443, 4446, 4707, 4735, 4751, 4758, 4975, 4977]"
71,93,Philip Lombard,William Henry Blore,84,"[952, 1150, 1154, 1618, 1624, 1698, 1759, 1761, 1785, 1791, 1928, 1944, 2046, 2074, 2087, 2120, 2139, 2239, 2259, 2262, 2266, 2270, 2346, 2356, 2380, 2389, 2392, 2394, 2407, 2555, 2646, 2665, 2698, 2710, 2836, 2959, 2962, 2971, 3000, 3005, 3116, 3130, 3134, 3138, 3143, 3144, 3150, 3151, 3152, 3156, 3161, 3162, 3163, 3172, 3174, 3178, 3182, 3382, 3399, 3447, 3453, 3712, 3734, 3751, 3769, 3777, 3883, 3947, 3972, 3986, 3992, 4017, 4127, 4135, 4153, 4155, 4161, 4245, 4253, 4348, 4707, 4735, 4751, 4758]"
71,84,Philip Lombard,Edward George Armstrong,69,"[221, 766, 788, 1174, 1271, 1292, 1301, 1789, 1791, 1936, 1942, 1966, 1971, 1982, 1988, 1990, 2007, 2011, 2018, 2038, 2239, 2260, 2262, 2265, 2270, 2375, 2380, 2386, 2389, 2401, 2409, 2646, 2651, 2690, 2710, 2816, 2823, 2824, 2830, 2834, 3020, 3348, 3387, 3396, 3688, 3764, 3777, 3883, 3947, 3996, 4018, 4049, 4080, 4095, 4121, 4144, 4175, 4176, 4177, 4328, 4338, 4348, 4417, 4419, 4425, 4707, 4737, 4913, 4921]"
84,93,Edward George Armstrong,William Henry Blore,57,"[1272, 1287, 1689, 1697, 1791, 2094, 2144, 2238, 2239, 2249, 2262, 2267, 2270, 2294, 2298, 2304, 2364, 2365, 2372, 2377, 2379, 2380, 2383, 2389, 2477, 2646, 2674, 2710, 2716, 2717, 2718, 3100, 3401, 3421, 3676, 3678, 3700, 3709, 3730, 3759, 3777, 3783, 3883, 3947, 3970, 4004, 4006, 4014, 4085, 4091, 4124, 4179, 4185, 4250, 4260, 4348, 4707]"
84,125,Edward George Armstrong,Vera Elizabeth Claythorne,47,"[221, 706, 1261, 1272, 2163, 2477, 2646, 2649, 2814, 2816, 2820, 2825, 2830, 2834, 3092, 3094, 3097, 3099, 3100, 3316, 3381, 3401, 3537, 3549, 3672, 3673, 3777, 4010, 4047, 4048, 4050, 4052, 4080, 4091, 4094, 4095, 4124, 4187, 4197, 4250, 4255, 4330, 4336, 4417, 4421, 4425, 4707]"
76,125,Emily Brent,Vera Elizabeth Claythorne,42,"[221, 682, 683, 687, 701, 1633, 1840, 1855, 1862, 1863, 1879, 1880, 1887, 1890, 1909, 1911, 1915, 1918, 1920, 2164, 2167, 2447, 2646, 2697, 2729, 2919, 2958, 3062, 3097, 3110, 3202, 3206, 3208, 3209, 3240, 3263, 3267, 3281, 3282, 3310, 3734, 4702]"
93,125,William Henry Blore,Vera Elizabeth Claythorne,37,"[664, 1272, 2477, 2489, 2646, 2665, 2742, 3100, 3281, 3310, 3401, 3422, 3584, 3591, 3662, 3705, 3714, 3734, 3777, 3981, 4068, 4076, 4091, 4124, 4212, 4234, 4237, 4245, 4250, 4253, 4254, 4263, 4707, 4735, 4744, 4751, 4758]"
55,84,Lawrence John Wargrave,Edward George Armstrong,36,"[221, 583, 590, 596, 597, 662, 825, 1266, 1317, 1657, 1792, 1929, 1931, 2038, 2041, 2140, 2494, 2571, 2581, 2718, 2863, 2865, 2867, 2876, 2880, 3060, 3339, 3356, 3381, 3387, 3401, 3421, 3709, 3715, 3716, 4190]"
55,71,Lawrence John Wargrave,Philip Lombard,35,"[221, 324, 771, 787, 790, 844, 952, 958, 1975, 1979, 2038, 2549, 2577, 2579, 2602, 2604, 2611, 2612, 2617, 2665, 2680, 2726, 2778, 2807, 2813, 3043, 3387, 3399, 3400, 3447, 3460, 3599, 3712, 4161, 4550]"
55,125,Lawrence John Wargrave,Vera Elizabeth Claythorne,33,"[221, 295, 308, 314, 340, 497, 501, 503, 520, 681, 701, 942, 2172, 2174, 2530, 2531, 2549, 2587, 2589, 2590, 2665, 2728, 2739, 2778, 2813, 3048, 3328, 3331, 3381, 3401, 3587, 3687, 3706]"
