canonical_id,fullname,original_ids,avg_name_match_score
55,Lawrence John Wargrave,"[55, 62, 118, 129, 136, 338]",94.77797601759264
56,Owen,"[56, 89, 95, 122, 127]",96.4349376114082
57,Gabrielle Turl,[57],100.0
59,Merryweather,[59],100.0
63,Constance Culmington,[63],100.0
68,Hugo Hamilton,[68],100.0
69,Cyril Ogilvie Hamilton,[69],100.0
71,Philip Lombard,"[71, 72, 97]",100.0
73,Jews,[73],0.0
74,Isaac Morris,[74],100.0
76,Emily Brent,"[76, 77]",100.0
79,Oliver,[79],100.0
80,John Gordon Macarthur,"[80, 142]",96.32386729160923
83,God,[83],0.0
84,Edward George Armstrong,"[84, 86, 287, 737, 861]",99.88747066199402
90,Anthony James Marston,"[90, 92, 123, 168, 175]",98.13647698934481
91,Badger Berkeley,[91],100.0
92,Jim,[92],0.0
93,William Henry Blore,"[93, 98, 157]",99.9384287004351
94,Ethel Rogers,"[94, 153]",100.0
99,Ma'am,[99],0.0
100,Fred Narracott,"[100, 102]",100.0
101,Elmer Robson,[101],97.17034521788342
103,One,[103],0.0
106,The Voice,[106],0.0
109,Beatrice Taylor,[109],100.0
111,James Stephen Landor,[111],100.0
113,Arthur Richmond,[113],100.0
114,Lucy Combes,[114],100.0
119,Edward Seton,[119],100.0
125,Vera Elizabeth Claythorne,[125],97.61904761904762
128,Matthews,[128],100.0
133,Jennifer Brady,[133],100.0
135,God,[135],0.0
140,Leslie Macarthur,[140],81.57894736842105
141,Armitage,[141],100.0
146,Cornwall,[146],0.0
147,Queer,[147],0.0
148,Death,[148],0.0
149,Sister,[149],0.0
159,Elsie MacPherson,[159],100.0
173,Thomas Legge,"[173, 176]",100.0
174,Maine,[174],100.0
459,Thomas Rogers,[459],100.0
