canonical_id,name,windows_present,longevity_adjusted_borda_effective_size,avg_borda_per_window_effective_size,median_borda_per_window_effective_size,pct_top_quartile_effective_size,longevity_adjusted_borda_constraint,avg_borda_per_window_constraint,median_borda_per_window_constraint,pct_top_quartile_constraint,longevity_adjusted_borda_hierarchy,avg_borda_per_window_hierarchy,median_borda_per_window_hierarchy,pct_top_quartile_hierarchy,longevity_adjusted_borda_density_raw,avg_borda_per_window_density_raw,median_borda_per_window_density_raw,pct_top_quartile_density_raw,longevity_adjusted_borda_density_moderate,avg_borda_per_window_density_moderate,median_borda_per_window_density_moderate,pct_top_quartile_density_moderate,longevity_adjusted_borda_composite_3,avg_borda_per_window_composite_3,median_borda_per_window_composite_3,pct_top_quartile_composite_3,longevity_adjusted_borda_composite_4,avg_borda_per_window_composite_4,median_borda_per_window_composite_4,pct_top_quartile_composite_4,borda_rank_effective_size,borda_rank_constraint,borda_rank_hierarchy,borda_rank_density_raw,borda_rank_density_moderate,borda_rank_composite_3,borda_rank_composite_4
3,Edward George Armstrong,4,3.5833,0.8958,0.9167,100.0,3.1379,0.7845,0.7951,75.0,2.9653,0.7413,0.7604,50.0,2.2411,0.5603,0.5476,25.0,3.8125,0.9531,1.0,100.0,3.2288,0.8072,0.7917,75.0,3.3748,0.8437,0.8403,100.0,1,2,1,3,1,1,1
1,Vera Elizabeth Claythorne,4,2.8532,0.7133,0.7321,50.0,3.1577,0.7894,0.8705,75.0,1.6002,0.4,0.3452,0.0,2.4871,0.6218,0.6706,25.0,2.2808,0.5702,0.5675,50.0,2.537,0.6343,0.6852,25.0,2.473,0.6182,0.6558,25.0,2,1,7,1,4,2,2
0,Lawrence John Wargrave,4,2.0278,0.5069,0.625,50.0,2.3681,0.592,0.7396,50.0,1.8542,0.4635,0.5833,0.0,2.376,0.594,0.6151,25.0,2.3919,0.598,0.5848,50.0,2.0833,0.5208,0.6528,50.0,2.1605,0.5401,0.6328,50.0,4,3,3,2,3,3,3
6,John Gordon Macarthur,3,2.0754,0.6918,0.7143,33.3,2.0397,0.6799,0.6111,33.3,1.6905,0.5635,0.3571,33.3,2.119,0.7063,0.7857,33.3,1.3571,0.4524,0.5,0.0,1.9352,0.6451,0.6667,33.3,1.7907,0.5969,0.5893,0.0,3,4,6,5,6,4,5
8,Thomas Rogers,4,1.9921,0.498,0.5794,25.0,1.8522,0.463,0.4365,25.0,1.9573,0.4893,0.6215,0.0,2.1657,0.5414,0.5174,50.0,2.5704,0.6426,0.7679,25.0,1.9339,0.4835,0.5503,25.0,2.093,0.5233,0.5387,25.0,5,6,2,4,2,5,4
5,Emily Brent,4,1.624,0.406,0.2183,25.0,1.9256,0.4814,0.3795,25.0,1.3859,0.3465,0.1771,25.0,1.9454,0.4864,0.4866,25.0,1.3502,0.3375,0.2723,0.0,1.6452,0.4113,0.3677,0.0,1.5714,0.3929,0.3274,0.0,6,5,8,6,7,6,6
2,Philip Lombard,4,1.3383,0.3346,0.3254,0.0,1.2232,0.3058,0.3095,0.0,1.8224,0.4556,0.4271,25.0,1.5685,0.3921,0.2738,25.0,1.8065,0.4516,0.4167,0.0,1.4613,0.3653,0.373,0.0,1.5476,0.3869,0.3854,0.0,7,7,4,7,5,7,7
9,Ethel Rogers,2,0.7986,0.3993,0.3993,0.0,0.7986,0.3993,0.3993,0.0,1.0764,0.5382,0.5382,50.0,1.0208,0.5104,0.5104,50.0,0.6875,0.3438,0.3438,0.0,0.8912,0.4456,0.4456,0.0,0.8403,0.4201,0.4201,0.0,8,8,9,8,8,8,8
4,William Henry Blore,4,0.4851,0.1213,0.1354,0.0,0.3304,0.0826,0.0714,0.0,1.7589,0.4397,0.3795,25.0,1.0208,0.2552,0.0938,25.0,0.6875,0.1719,0.0938,0.0,0.8581,0.2145,0.2485,0.0,0.8155,0.2039,0.2098,0.0,9,9,5,8,8,9,9
7,Anthony James Marston,1,0.2222,0.2222,0.2222,0.0,0.1667,0.1667,0.1667,0.0,0.8889,0.8889,0.8889,100.0,0.0556,0.0556,0.0556,0.0,0.0556,0.0556,0.0556,0.0,0.4259,0.4259,0.4259,0.0,0.3333,0.3333,0.3333,0.0,10,10,10,10,10,10,10
