window_lo,window_hi,n_alive,canonical_id,name,effective_size,density,constraint,hierarchy,rank_effective_size,rank_constraint,rank_hierarchy,rank_density_raw,rank_density_moderate,rank_composite_3,rank_composite_4,borda_effective_size,borda_constraint,borda_hierarchy,borda_density_raw,borda_density_moderate,borda_composite_3,borda_composite_4
0,17462,10,0,Lawrence John Wargrave,5.3333,0.1333,0.3056,0.0769,3.0,2.0,4.0,6.0,2.0,3.0,2.75,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.8888888888888888,0.7777777777777778,0.8055555555555556
0,17462,10,1,Vera Elizabeth Claythorne,5.6667,0.0667,0.2361,0.3721,2.0,1.0,8.0,5.0,3.0,3.6666666666666665,3.5,0.8888888888888888,1.0,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.7037037037037037,0.7222222222222222
0,17462,10,2,Philip Lombard,1.0,0.0,1.0,1.0,8.0,7.0,9.0,2.5,5.5,8.0,7.375,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.8333333333333334,0.5,0.2222222222222222,0.2916666666666667
0,17462,10,3,Edward George Armstrong,5.8571,0.1905,0.3073,0.2743,1.0,3.0,6.0,7.0,1.0,3.3333333333333335,2.75,1.0,0.7777777777777778,0.4444444444444444,0.3333333333333333,1.0,0.7407407407407407,0.8055555555555556
0,17462,10,4,William Henry Blore,,0.0,,,10.0,10.0,10.0,2.5,5.5,10.0,8.875,0.0,0.0,0.0,0.8333333333333334,0.5,0.0,0.125
0,17462,10,5,Emily Brent,1.0,1.0,1.125,0.0,8.0,8.5,2.0,9.5,9.5,6.166666666666667,7.0,0.2222222222222222,0.16666666666666666,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.4259259259259259,0.3333333333333333
0,17462,10,6,John Gordon Macarthur,2.0,0.0,0.5,0.2781,4.5,4.5,7.0,2.5,5.5,5.333333333333333,5.375,0.6111111111111112,0.6111111111111112,0.3333333333333333,0.8333333333333334,0.5,0.5185185185185186,0.5138888888888888
0,17462,10,7,Anthony James Marston,1.0,1.0,1.125,0.0,8.0,8.5,2.0,9.5,9.5,6.166666666666667,7.0,0.2222222222222222,0.16666666666666666,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.4259259259259259,0.3333333333333333
0,17462,10,8,Thomas Rogers,1.6667,0.6667,0.8395,0.2671,6.0,6.0,5.0,8.0,8.0,5.666666666666667,6.25,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.48148148148148145,0.4166666666666667
0,17462,10,9,Ethel Rogers,2.0,0.0,0.5,0.0,4.5,4.5,2.0,2.5,5.5,3.6666666666666665,4.125,0.6111111111111112,0.6111111111111112,0.8888888888888888,0.8333333333333334,0.5,0.7037037037037037,0.6527777777777778
17463,21070,9,0,Lawrence John Wargrave,1.0,0.0,1.0,1.0,3.0,2.5,3.5,2.5,2.5,3.0,2.875,0.75,0.8125,0.6875,0.8125,0.8125,0.75,0.765625
17463,21070,9,1,Vera Elizabeth Claythorne,1.0,0.0,1.0,1.0,3.0,2.5,3.5,2.5,2.5,3.0,2.875,0.75,0.8125,0.6875,0.8125,0.8125,0.75,0.765625
17463,21070,9,2,Philip Lombard,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
17463,21070,9,3,Edward George Armstrong,1.0,0.0,1.0,1.0,3.0,2.5,3.5,2.5,2.5,3.0,2.875,0.75,0.8125,0.6875,0.8125,0.8125,0.75,0.765625
17463,21070,9,4,William Henry Blore,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
