window_lo,window_hi,n_alive,canonical_id,name,ego_size,density,effective_size,constraint,hierarchy,degree,all_dyadic_constraint,most_constraining_alter,alter_dyadic_constraint,structural_keystone,keystone_sensitivity,all_keystone_sensitivity,z_density,z_effective_size,z_constraint,z_hierarchy,null_mean_density,null_mean_effective_size,null_mean_constraint,null_mean_hierarchy,jaccard_with_victim,victim_betweenness,bridging_gap
0,17462,10,0,Lawrence John Wargrave,6,0.1333,5.3333,0.3056,0.0769,6,"{""Philip Lombard"": 0.124567, ""William Henry Blore"": 0.086505, ""Anthony James Marston"": 0.086505, ""Thomas Rogers"": 0.124567, ""Edward Seton"": 0.055363, ""Constance Culmington"": 0.013841}",Philip Lombard,0.1246,Edward Seton,0.0944,"{""Philip Lombard"": 0.005556, ""William Henry Blore"": 0.005556, ""Anthony James Marston"": 0.005556, ""Thomas Rogers"": 0.005556, ""Edward Seton"": 0.094444, ""Constance Culmington"": 0.094444}",,,1.1608,-1.1303,0.133333,5.333333,0.298469,0.162496,0.1429,0.4123,-0.4444
0,17462,10,1,Vera Elizabeth Claythorne,6,0.0667,5.6667,0.2361,0.3721,6,"{""William Henry Blore"": 0.006944, ""Emily Brent"": 0.027778, ""Ethel Rogers"": 0.25, ""Hugo Hamilton"": 0.027778, ""Cyril Ogilvie Hamilton"": 0.006944, ""Owen"": 0.25}",Ethel Rogers,0.25,William Henry Blore,0.0639,"{""William Henry Blore"": 0.063889, ""Emily Brent"": 0.063889, ""Ethel Rogers"": 0.036111, ""Hugo Hamilton"": 0.063889, ""Cyril Ogilvie Hamilton"": 0.063889, ""Owen"": 0.036111}",,,,,0.066667,5.666667,0.236111,0.128951,0.1429,0.1404,0.4444
0,17462,10,2,Philip Lombard,1,0.0,1.0,1.0,1.0,1,"{""Thomas Rogers"": 1.0}",Thomas Rogers,1.0,,,{},,,,,,,,,0.0,0.0702,0.1111
0,17462,10,3,Edward George Armstrong,7,0.1905,5.8571,0.3073,0.2743,7,"{""Lawrence John Wargrave"": 0.324267, ""Vera Elizabeth Claythorne"": 0.037809, ""Anthony James Marston"": 0.145125, ""Thomas Rogers"": 0.066531, ""Ethel Rogers"": 0.069637, ""Louisa Mary Clees"": 0.006944, ""Matthews"": 0.006944}",Lawrence John Wargrave,0.3243,Louisa Mary Clees,0.0832,"{""Lawrence John Wargrave"": 0.014046, ""Vera Elizabeth Claythorne"": 0.033793, ""Anthony James Marston"": 0.033793, ""Thomas Rogers"": 0.001701, ""Ethel Rogers"": 0.014046, ""Louisa Mary Clees"": 0.083176, ""Matthews"": 0.083176}",,,-0.7521,1.8322,0.190476,5.857143,0.316563,0.141671,0.125,0.386,0.0
0,17462,10,4,William Henry Blore,0,0.0,,,,0,,,,,,,,,,,,,,,0.0,0.0965,0.3333
0,17462,10,5,Emily Brent,2,1.0,1.0,1.125,0.0,2,"{""Vera Elizabeth Claythorne"": 1.0, ""Edward George Armstrong"": 1.0}",Vera Elizabeth Claythorne,1.0,Vera Elizabeth Claythorne,0.125,"{""Vera Elizabeth Claythorne"": 0.125, ""Edward George Armstrong"": 0.125}",,,,,1.0,1.0,1.125,0.0,0.0,0.0,0.1111
0,17462,10,6,John Gordon Macarthur,2,0.0,2.0,0.5,0.2781,2,"{""Vera Elizabeth Claythorne"": 0.111111, ""Philip Lombard"": 0.444444}",Philip Lombard,0.4444,Vera Elizabeth Claythorne,0.5,"{""Vera Elizabeth Claythorne"": 0.5, ""Philip Lombard"": 0.5}",,,,,0.0,2.0,0.5,0.0,0.0,0.0,0.2222
0,17462,10,7,Anthony James Marston,2,1.0,1.0,1.125,0.0,2,"{""Lawrence John Wargrave"": 1.0, ""William Henry Blore"": 1.0}",Lawrence John Wargrave,1.0,Lawrence John Wargrave,0.125,"{""Lawrence John Wargrave"": 0.125, ""William Henry Blore"": 0.125}",,,,,1.0,1.0,1.125,0.0,,,-0.4444
0,17462,10,8,Thomas Rogers,3,0.6667,1.6667,0.8395,0.2671,3,"{""Lawrence John Wargrave"": 0.521605, ""Ethel Rogers"": 0.07716, ""Owen"": 1.0}",Owen,1.0,Owen,0.3395,"{""Lawrence John Wargrave"": 0.285494, ""Ethel Rogers"": 0.285494, ""Owen"": 0.339506}",,,,,0.666667,1.666667,0.839506,0.21031,0.25,0.0,-0.1111
0,17462,10,9,Ethel Rogers,2,0.0,2.0,0.5,0.0,2,"{""Jennifer Brady"": 0.25, ""Owen"": 0.25}",Jennifer Brady,0.25,Jennifer Brady,0.5,"{""Jennifer Brady"": 0.5, ""Owen"": 0.5}",,,,,0.0,2.0,0.5,0.0,0.0,0.0526,-0.1111
