,Lawrence John Wargrave,Vera Elizabeth Claythorne,Philip Lombard,Edward George Armstrong,William Henry Blore,Emily Brent,John Gordon Macarthur,Anthony James Marston,Thomas Rogers,Ethel Rogers
Lawrence John Wargrave,6,1,1,2,0,0,1,1,0,0
Vera Elizabeth Claythorne,1,6,0,1,0,0,0,1,2,1
Philip Lombard,1,0,1,1,0,0,0,0,0,0
Edward George Armstrong,2,1,1,7,0,1,1,1,2,0
William Henry Blore,0,0,0,0,0,0,0,0,0,0
Emily Brent,0,0,0,1,0,2,1,0,0,0
John Gordon Macarthur,1,0,0,1,0,1,2,0,0,0
Anthony James Marston,1,1,0,1,0,0,0,2,1,0
Thomas Rogers,0,2,0,2,0,0,0,1,3,1
Ethel Rogers,0,1,0,0,0,0,0,0,1,2
